restaurante_name,user_name,review_date,stars,comment_text,year,platform,language,comment_text_translated
cipriani,Viva Gastronomia,9 anos atrás no Zomato,1,"Hotelaria e gastronomia são duas  artes demandam muito conhecimento para domínio completo e entrega de  acordo com a expectativa dos clientes. O hotel Copacabana Palace é uma referência para a hotelaria carioca e  hospeda em sua área nobre o restaurante Cipriano, que ostenta a mesma  imponência do local. À parte da ambientação, as opções gastronômicas concentram-se nos clássicos italianos e em uma carta de vinhos de respeito. O carpaccio Cipriani é um item no qual erros não são permitidos e que a  entrega é bem de acordo com a expectativa. O couvert entrega variedades  de pães e molhos que agradam aos paladares mais ansiosos. Para os pratos principais, risotos e massas são as estrelas mas, pelo  custo dos pratos poucas opções justificam a experiência. O mignon de  atum com foie gras muito bem executado foi a estrela da noite e entra no  grupo dos sucessos da noite. A carta de vinhos com preços significativamente acima do valor justo de  mercado apresenta rótulos que minimizam as chances de erro. Sem sobremesas na noite os doces ficam a mercê dos petit fours que acompanham o café, muito bem tirado. A experiência tem um preço e está acima da média do bairro e da cidade,  aproximadamente R$ 175,00/ pessoa, tornam a visita a este restaurante  uma escolha bem estudada.",2015,Zomato,pt,"hotelaria e gastronomia são dua art demandam muito conhecimento para domínio completo e entrega de acordo com a expectativa do client . o hotel copacabana palac é uma referência para a hotelaria carioca e hospeda em sua área nobr o restaurant cipriano , que ostenta a mesma imponência do local . à part da ambientação , as opçõ gastronômica concentram-s no clássico italiano e em uma carta de vinho de respeito . o carpaccio cipriani é um item no qual erro não são permitido e que a entrega é bem de acordo com a expectativa . o couvert entrega variedad de pãe e molho que agradam ao paladar mai ansioso . para os prato principai , risoto e massa são as estrela ma , pelo custo do prato pouca opçõ justificam a experiência . o mignon de atum com foie gra muito bem executado foi a estrela da noit e entra no grupo do sucesso da noit . a carta de vinho com preço significativament acima do valor justo de mercado apresenta rótulo que minimizam as chanc de erro . sem sobremesa na noit os doce ficam a mercê do petit four que acompanham o café , muito bem tirado . a experiência tem um preço e está acima da média do bairro e da cidad , aproximadament r $ 175,00/ pessoa , tornam a visita a est restaurant uma escolha bem estudada ."
cipriani,Аннa Шкаленкова,11 dias atrás no Google,1,"It was  possible to order only a tasting menu; we took a stripped-down version  of 11 dishes), but fortunately they were very small, even hot, so we  only refused the last third dessert, but they gave it to us to take with  us. As for the food, everything was good, but the wine accompaniment  was premium and did not live up to expectations.   Service:  Dine in    Meal type:  Dinner    Price per person:  R$200+    Food:  4    Service:  5    Atmosphere:  4",2024,Google,en,"foi possível encomendar apena um menu de degustação ; tomamo uma versão despojada de 11 prato ) , ma felizment ele eram muito pequeno , até quent , então apena recusamo a última terceira sobremesa , ma ele no deram para no levar conosco.quanto à comida , tudo estava bom , ma o acompanhamento do vinho era premium e não cumpriu as expectativa . serviço : jant no tipo de refeição : preço do jantar por pessoa : r $ 200+"
cipriani,Roberto Barretto,um mês atrás no Google,1,Grade 10!   Food:  5    Service:  4    Atmosphere:  5,Unknown,Google,en,grade 10 !
cipriani,GRUPO VANDERSON SOARES,um mês atrás no Google,1,Wonderful    Food:  5    Service:  5    Atmosphere:  5,Unknown,Google,en,comida maravilhosa
cipriani,Maria Baptista,um mês atrás no Google,1,"We had  a great dining experience at Cipriani. We chose the Degustation Menu  and our server Lima was exceptional at explaining the different dishes  and going into detail when we had questions. Lima was knowledgeable,  attentive and personable. The atmosphere was classy, good lighting and  music. The food was good but not exceptional. Having been to other  Michelin stars restaurants, I feel more could have been done in terms of  interesting dishes - chicken ravioli and codfish were a bit basic. Some  niche dishes like veal's head/tongue (warning for those who are not so  keen on this sort of food). The highlight for me was the homemade butter  and the desserts. All in all, the price is more accessible compared to  other Michelin star restaurants, the service is great and the location  iconic, which makes it a great experience.   Service:  Dine in    Meal type:  Dinner    Price per person:  R$200+    Food:  4    Service:  5    Atmosphere:  5",Unknown,Google,en,"tivemo uma ótima experiência gastronômica em cipriani.escolhemo o menu de degustação e nosso servidor lima foi excepcion em explicar os diferent prato e entrar em detalh quando tivemo perguntas.lima era experient , atencioso e gentil.a atmosfera era elegant , boa iluminação e música.a comida era boa , ma não excepcional.tendo estado em outro restaurant michelin star , sinto que mai poderia ter sido feito em termo de prato interessant - o ravioli de frango e o bacalhau eram um pouco básicos.algun prato de nicho , como a cabeça/língua da veal ( aviso para aquel que não estão tão interessado ness tipo de comida ) .o destaqu para mim foi a manteiga caseira e as sobremesas.em suma , o preço é mai acessível em comparação com outro restaurant da michelin star , o serviço é ótimo e o local icônico , o que a torna uma ótima experiência . serviço : jant no tipo de refeição : preço do jantar por pessoa : r $ 200+"
cipriani,Kirill Suslov,um mês atrás no Google,1,"Rio greeted us with a gorgeous  dinner at Cipriani before that we were at Cipriani Dubai. They have a  slightly different concept, but overall great! So, the restaurant is  small but beautiful! Fresh flowers, paintings and antique mirrors as  decoration! The restaurant staff is friendly and very attentive. First  they brought us a compliment! Then the menu! This is great! There are  two sets to choose from: Traditional and Innovative We chose Innovative.  Before the set they brought another compliment: it was worthy of five  different flavors! There were 8 dishes in total: oyster with jamon,  carabeneros shrimp, simply incomparable lamb tartar; risoto with cheese,  ravioli, and red snapper fish baked in leaves with sauces; then  pre-dessert and dessert itself! All dishes were delicious and delighted  with the combination of tastes! I love carabeneros with airy molecular  sauce, it reminded me of a butterfly in appearance I asked for tea for  dessert! They approached this issue as responsibly as possible: first  they let me smell the tea, then they brought a beautiful porcelain  teapot and brewed it in front of me - they had never made me tea in a  restaurant before the tea was really good and strong! At the very end,  as a third compliment, they brought us a cart with desserts to choose  from! Then my heart began to sing I took a tartlet with strawberries and  canoli - it was delicious! But! Then they brought a huge bowl of ice  cream - my husband only asked for one scoop! Praised! Ice cream is also a  compliment, this is the fourth one! Well, how can one not note the  generosity of the restaurant?! My husband and I really enjoyed  everything! Thanks for the wonderful experience",Unknown,Google,en,"rio no cumpriment com um lindo jantar em cipriani ant disso , estávamo em cipriani dubai.el têm um conceito um pouco diferent , ma em geral ótimo ! então , o restaurant é pequeno , ma bonito ! flore fresca , pintura e espelho antigo como decoração ! a equip do restaurant é amigável e muito atenciosa.primeiro , ele no trouxeram um elogio ! então o menu ! isso é ótimo ! há doi conjunto para escolh : tradicion e inovador , escolhemo inovador . ant do cenário , ele trouxeram outro elogio : era digno de cinco sabor diferent ! havia 8 prato no total : oyster com jamon , camarão caraberio , tártaro de cordeiro simplesment incomparável ; risoto com queijo , ravioli e peix de pargo vermelho assado em folha com molho ; em seguida , pré-sobremesa e a própria sobremesa ! todo os prato estavam delicioso e encantado com a combinação de gosto ! eu amo caraberio com molho molecular arejado , isso me lembrou uma aparência de borboleta que pedi chá para a sobremesa ! ele abordaram ess problema da maneira mai responsável possível : primeiro ele me deixaram sentir o cheiro do chá , depoi trouxeram um belo bule de porcelana e o fabricaram na minha frent - ele nunca haviam me feito chá em um restaurant ant que o chá foss realment bom e fort ! no final , como um terceiro elogio , ele no trouxeram um carrinho com sobremesa para escolh ! então meu coração começ a cantar , peguei uma torta com morango e canoli - foi delicioso ! ma ! então ele trouxeram uma tigela enorm de sorvet - meu marido só pediu uma colher ! elogiado ! o sorvet também é um elogio , est é o quarto ! bem , como não se pode observar a generosidad do restaurant ? ! meu marido e eu realment gostamo de tudo ! obrigado pela experiência maravilhosa"
cipriani,Francisco Helder Miranda,2 meses atrás no Google,1,"A journey of flavor, combined with refinement and good service!!! Especially our friend Genilson!!!   Food:  5    Service:  5    Atmosphere:  5",2024,Google,en,"uma jornada de sabor , combinada com refinamento e bom serviço ! ! ! especialment nosso amigo genilson ! ! !"
cipriani,Amy Lynch,2 meses atrás no Google,1,"The  best dining experience ever. Ask for Caroline as your server. She  delivered exceptional service, was knowledgeable and personable. A great  birthday dinner.   Service:  Dine in    Meal type:  Dinner    Price per person:  R$200+    Food:  5    Service:  5    Atmosphere:  5",2024,Google,en,"a melhor experiência gastronômica de todo os tempos.peça carolin como seu servidor.ela prestou um serviço excepcion , tinha conhecimento e gentil.um ótimo jantar de aniversário . serviço : jant no tipo de refeição : preço do jantar por pessoa : r $ 200+ alimento"
cipriani,Beto Santos,2 meses atrás no Google,1,I have been going to Cipriani  for many years and have rarely been disappointed with the place. I was  there recently and found it very beautiful and refined. The food almost  matches this level.,2024,Google,en,eu vou a cipriani há muito ano e rarament fico decepcionado com o local.eu estiv lá recentement e achei muito bonito e refinado.a comida quas correspond a ess nível .
cipriani,Miguel “PMLS Expert” Iluffi,2 meses atrás no Google,1,Service:  Dine in    Meal type:  Dinner    Price per person:  R$200+    Food:  5    Service:  5    Atmosphere:  5,2024,Google,en,serviço : jant no tipo de refeição : preço do jantar por pessoa : r $ 200+ alimento
cipriani,Guilherme Monteiro,2 meses atrás no Google,1,Service:  Dine in    Meal type:  Dinner    Price per person:  R$200+    Food:  4    Service:  5    Atmosphere:  5,2024,Google,en,serviço : jant no tipo de refeição : preço do jantar por pessoa : r $ 200+
cipriani,Bruna Corty,3 meses atrás no Google,1,Unforgettable birthday night with congratulations to the sound of the piano! Awesome team! Thanks!   Meal type:  Dinner    Food:  5    Service:  5    Atmosphere:  5,2024,Google,en,noit inesquecível de aniversário com parabén ao som do piano ! equip incrível ! obrigado ! tipo de refeição : jantar
cipriani,Ana Cecília Pires Santoro,4 meses atrás no Google,1,"I  loved the experience! Everything was perfect! I was alone spending the  weekend at the Copacabana Palace and, of course, I couldn't miss meeting  Cipriani. I made a reservation right after checking in on Friday for  dinner on Saturday. When I arrived at the restaurant the next day, I was  treated wonderfully well. When they welcomed me they said that they had  saved a special table with a view of the pool and the sea in the  background. They said that the view would be my perfect companion -  which I thought was a first class attitude. Was it expensive?  Undoubtedly! But what you pay for you get in quality and perfection.  I've already seen other Michelin-starred restaurants both in Brazil and  in Europe. However, in terms of treatment, Cipriani was undoubtedly the  best. Parking: Parking at the Copacabana Palace Hotel.   Service:  Dine in    Meal type:  Dinner    Price per person:  R$200+    Food:  5    Service:  5    Atmosphere:  5    Parking options:  Paid parking garage",2024,Google,en,"adorei a experiência ! tudo foi perfeito ! eu estava sozinho passando o fim de semana no palácio de copacabana e , é claro , não podia sentir falta de conhec cipriani.fiz uma reserva logo apó o check -in na sexta -feira para jantar no sábado.quando cheguei ao restaurant no dia seguint , fui tratado maravilhosament bem.quando ele me receberam , disseram que haviam salvado uma mesa especi com vista para a piscina e o mar ao fundo.el disseram que a visão seria meu companheiro perfeito - o que eu pensei que era uma atitud de primeira classe.isso foi caro ? sem dúvida ! ma o que você paga por você tem qualidad e perfeição . eu já vi outro restaurant com estrela michelin , tanto no brasil quanto na europa.no entanto , em termo de tratamento , cipriani foi sem dúvida o melhor.estacionamento : estacionamento no copacabana palac hotel . serviço : jant no tipo de refeição : preço do jantar por pessoa : r $ 200+ opçõ de estacionamento : garagem de estacionamento pago"
