restaurante_name,user_name,review_date,stars,comment_text,year,platform,language,comment_text_translated
cipriani,Viva Gastronomia,9 anos atrás no Zomato,1,"Hotelaria e gastronomia são duas  artes demandam muito conhecimento para domínio completo e entrega de  acordo com a expectativa dos clientes. O hotel Copacabana Palace é uma referência para a hotelaria carioca e  hospeda em sua área nobre o restaurante Cipriano, que ostenta a mesma  imponência do local. À parte da ambientação, as opções gastronômicas concentram-se nos clássicos italianos e em uma carta de vinhos de respeito. O carpaccio Cipriani é um item no qual erros não são permitidos e que a  entrega é bem de acordo com a expectativa. O couvert entrega variedades  de pães e molhos que agradam aos paladares mais ansiosos. Para os pratos principais, risotos e massas são as estrelas mas, pelo  custo dos pratos poucas opções justificam a experiência. O mignon de  atum com foie gras muito bem executado foi a estrela da noite e entra no  grupo dos sucessos da noite. A carta de vinhos com preços significativamente acima do valor justo de  mercado apresenta rótulos que minimizam as chances de erro. Sem sobremesas na noite os doces ficam a mercê dos petit fours que acompanham o café, muito bem tirado. A experiência tem um preço e está acima da média do bairro e da cidade,  aproximadamente R$ 175,00/ pessoa, tornam a visita a este restaurante  uma escolha bem estudada.",2015,Zomato,pt,"Hotelaria e gastronomia são duas artes demandam muito conhecimento para domínio completo e entrega de acordo com a expectativa dos clientes. O hotel Copacabana Palace é uma referência para a hotelaria carioca e hospeda em sua área nobre o restaurante Cipriano, que ostenta a mesma imponência do local. À parte da ambientação, as opções gastronômicas concentram-se nos clássicos italianos e em uma carta de vinhos de respeito. O carpaccio Cipriani é um item no qual erros não são permitidos e que a entrega é bem de acordo com a expectativa. O couvert entrega variedades de pães e molhos que agradam aos paladares mais ansiosos. Para os pratos principais, risotos e massas são as estrelas mas, pelo custo dos pratos poucas opções justificam a experiência. O mignon de atum com foie gras muito bem executado foi a estrela da noite e entra no grupo dos sucessos da noite. A carta de vinhos com preços significativamente acima do valor justo de mercado apresenta rótulos que minimizam as chances de erro. Sem sobremesas na noite os doces ficam a mercê dos petit fours que acompanham o café, muito bem tirado. A experiência tem um preço e está acima da média do bairro e da cidade, aproximadamente R$ 175,00/ pessoa, tornam a visita a este restaurante uma escolha bem estudada."
cipriani,Аннa Шкаленкова,11 dias atrás no Google,1,"It was  possible to order only a tasting menu; we took a stripped-down version  of 11 dishes), but fortunately they were very small, even hot, so we  only refused the last third dessert, but they gave it to us to take with  us. As for the food, everything was good, but the wine accompaniment  was premium and did not live up to expectations.   Service:  Dine in    Meal type:  Dinner    Price per person:  R$200+    Food:  4    Service:  5    Atmosphere:  4",2024,Google,en,"Foi possível encomendar apenas um menu de degustação;Tomamos uma versão despojada de 11 pratos), mas felizmente eles eram muito pequenos, até quentes, então apenas recusamos a última terceira sobremesa, mas eles nos deram para nos levar conosco.Quanto à comida, tudo estava bom, mas o acompanhamento do vinho era premium e não cumpriu as expectativas. serviço: Jante no tipo de refeição: preço do jantar por pessoa: r $ 200+"
cipriani,Roberto Barretto,um mês atrás no Google,1,Grade 10!   Food:  5    Service:  4    Atmosphere:  5,Unknown,Google,en,Grade 10!
cipriani,GRUPO VANDERSON SOARES,um mês atrás no Google,1,Wonderful    Food:  5    Service:  5    Atmosphere:  5,Unknown,Google,en,comida maravilhosa
cipriani,Maria Baptista,um mês atrás no Google,1,"We had  a great dining experience at Cipriani. We chose the Degustation Menu  and our server Lima was exceptional at explaining the different dishes  and going into detail when we had questions. Lima was knowledgeable,  attentive and personable. The atmosphere was classy, good lighting and  music. The food was good but not exceptional. Having been to other  Michelin stars restaurants, I feel more could have been done in terms of  interesting dishes - chicken ravioli and codfish were a bit basic. Some  niche dishes like veal's head/tongue (warning for those who are not so  keen on this sort of food). The highlight for me was the homemade butter  and the desserts. All in all, the price is more accessible compared to  other Michelin star restaurants, the service is great and the location  iconic, which makes it a great experience.   Service:  Dine in    Meal type:  Dinner    Price per person:  R$200+    Food:  4    Service:  5    Atmosphere:  5",Unknown,Google,en,"Tivemos uma ótima experiência gastronômica em Cipriani.Escolhemos o menu de degustação e nosso servidor Lima foi excepcional em explicar os diferentes pratos e entrar em detalhes quando tivemos perguntas.Lima era experiente, atencioso e gentil.A atmosfera era elegante, boa iluminação e música.A comida era boa, mas não excepcional.Tendo estado em outros restaurantes Michelin Stars, sinto que mais poderia ter sido feito em termos de pratos interessantes - o ravioli de frango e o bacalhau eram um pouco básicos.Alguns pratos de nicho, como a cabeça/língua da VEAL (aviso para aqueles que não estão tão interessados nesse tipo de comida).O destaque para mim foi a manteiga caseira e as sobremesas.Em suma, o preço é mais acessível em comparação com outros restaurantes da Michelin Star, o serviço é ótimo e o local icônico, o que a torna uma ótima experiência. serviço: Jante no tipo de refeição: preço do jantar por pessoa: r $ 200+"
cipriani,Kirill Suslov,um mês atrás no Google,1,"Rio greeted us with a gorgeous  dinner at Cipriani before that we were at Cipriani Dubai. They have a  slightly different concept, but overall great! So, the restaurant is  small but beautiful! Fresh flowers, paintings and antique mirrors as  decoration! The restaurant staff is friendly and very attentive. First  they brought us a compliment! Then the menu! This is great! There are  two sets to choose from: Traditional and Innovative We chose Innovative.  Before the set they brought another compliment: it was worthy of five  different flavors! There were 8 dishes in total: oyster with jamon,  carabeneros shrimp, simply incomparable lamb tartar; risoto with cheese,  ravioli, and red snapper fish baked in leaves with sauces; then  pre-dessert and dessert itself! All dishes were delicious and delighted  with the combination of tastes! I love carabeneros with airy molecular  sauce, it reminded me of a butterfly in appearance I asked for tea for  dessert! They approached this issue as responsibly as possible: first  they let me smell the tea, then they brought a beautiful porcelain  teapot and brewed it in front of me - they had never made me tea in a  restaurant before the tea was really good and strong! At the very end,  as a third compliment, they brought us a cart with desserts to choose  from! Then my heart began to sing I took a tartlet with strawberries and  canoli - it was delicious! But! Then they brought a huge bowl of ice  cream - my husband only asked for one scoop! Praised! Ice cream is also a  compliment, this is the fourth one! Well, how can one not note the  generosity of the restaurant?! My husband and I really enjoyed  everything! Thanks for the wonderful experience",Unknown,Google,en,"Rio nos cumprimentou com um lindo jantar em Cipriani antes disso, estávamos em Cipriani Dubai.Eles têm um conceito um pouco diferente, mas em geral ótimo!Então, o restaurante é pequeno, mas bonito!Flores frescas, pinturas e espelhos antigos como decoração!A equipe do restaurante é amigável e muito atenciosa.Primeiro, eles nos trouxeram um elogio!Então o menu!Isso é ótimo!Há dois conjuntos para escolher: tradicional e inovador, escolhemos inovadores. Antes do cenário, eles trouxeram outro elogio: era digno de cinco sabores diferentes!Havia 8 pratos no total: Oyster com Jamon, camarão caraberios, tártaro de cordeiro simplesmente incomparável;Risoto com queijo, ravioli e peixe de pargo vermelho assado em folhas com molhos;Em seguida, pré-sobremesa e a própria sobremesa!Todos os pratos estavam deliciosos e encantados com a combinação de gostos!Eu amo caraberios com molho molecular arejado, isso me lembrou uma aparência de borboleta que pedi chá para a sobremesa!Eles abordaram esse problema da maneira mais responsável possível: primeiro eles me deixaram sentir o cheiro do chá, depois trouxeram um belo bule de porcelana e o fabricaram na minha frente - eles nunca haviam me feito chá em um restaurante antes que o chá fosse realmente bom e forte!No final, como um terceiro elogio, eles nos trouxeram um carrinho com sobremesas para escolher!Então meu coração começou a cantar, peguei uma torta com morangos e canoli - foi delicioso!Mas!Então eles trouxeram uma tigela enorme de sorvete - meu marido só pediu uma colher!Elogiado!O sorvete também é um elogio, este é o quarto!Bem, como não se pode observar a generosidade do restaurante?!Meu marido e eu realmente gostamos de tudo!Obrigado pela experiência maravilhosa"
cipriani,Francisco Helder Miranda,2 meses atrás no Google,1,"A journey of flavor, combined with refinement and good service!!! Especially our friend Genilson!!!   Food:  5    Service:  5    Atmosphere:  5",2024,Google,en,"Uma jornada de sabor, combinada com refinamento e bom serviço !!!Especialmente nosso amigo Genilson !!!"
cipriani,Amy Lynch,2 meses atrás no Google,1,"The  best dining experience ever. Ask for Caroline as your server. She  delivered exceptional service, was knowledgeable and personable. A great  birthday dinner.   Service:  Dine in    Meal type:  Dinner    Price per person:  R$200+    Food:  5    Service:  5    Atmosphere:  5",2024,Google,en,"A melhor experiência gastronômica de todos os tempos.Peça Caroline como seu servidor.Ela prestou um serviço excepcional, tinha conhecimento e gentil.Um ótimo jantar de aniversário. serviço: Jante no Tipo de refeição: Preço do jantar por pessoa: R $ 200+ Alimento"
cipriani,Beto Santos,2 meses atrás no Google,1,I have been going to Cipriani  for many years and have rarely been disappointed with the place. I was  there recently and found it very beautiful and refined. The food almost  matches this level.,2024,Google,en,Eu vou a Cipriani há muitos anos e raramente fico decepcionado com o local.Eu estive lá recentemente e achei muito bonito e refinado.A comida quase corresponde a esse nível.
cipriani,Miguel “PMLS Expert” Iluffi,2 meses atrás no Google,1,Service:  Dine in    Meal type:  Dinner    Price per person:  R$200+    Food:  5    Service:  5    Atmosphere:  5,2024,Google,en,serviço: Jante no Tipo de refeição: Preço do jantar por pessoa: R $ 200+ Alimento
