sentenca,categoria_maritaka
"Atendimento bom, lugar pequeno, porém aconchegante onde podes escolher entra área externa ou interna.","ambiente, geral"
Lugar agradável atendimento não é muito bom por alguns garçons do segundo piso voltaria pela pizza,"serviço, comida"
"Pra quem gosta de uma vida noturna, este é um bar histórico e com uma tradição forte para os moradores de Manaus, tem um sanduíche de pernil que é fora de serie, som, petiscos, um povo muito hospitaleiro e bem no Centro da cidade!","comida, bebida, serviço, ambiente, localização"
"Para quem já foi em uma boa churrascaria, a Búfalo não é das melhores.","comida, geral"
Localizado em um ótimo shopping em Manaus.,localização
"Boa opção para um almoço casual, boa opção para estar com os amigos, boa opção para um jantar aconchegante, boa opção para levar amigos que estão conhecendo a cidade... Enfim, para todas as ocasiões, uma opção que satisfaz todos os gostos!!","<frase>geral, ambiente, comida, serviço"
"Mesas dispostas na calçada e rua, petiscos bem servidos e  boa variedade, cerveja trincando de gelada.","<frase>ambiente, comida, bebida"
ótima opção de lazer.,geral
"No Abare podemos degustar de petiscos e pratos incríveis e ainda aproveitar a paisagem natural que deixe o Local mais agradável ainda, parabéns!","comida, ambiente, geral"
Precisa fechar uma área maior.,localização
Alimentação excepcional!,comida
"Ambiente tranquilo, uma ótima opção!!!",ambiente
"Preço acima da média, contudo, excelente opção para uma boa refeição.","geral, preço, comida"
Restaurante regional de Manaus.,comida
Excelente opção para lanche ou rodízio de sopas em Manaus.,"comida, localização"
"Melhor churrascaria de Manaus, ótimo atendimento.","serviço, comida"
"Adorei , atendimento excelente e os pratos uma delicia e uma paisagem espetacular !!!","<frase>comida, serviço, ambiente"
"Banzeiro,um restaraurante com a verdadeira culinária amazônica e ótimos pratos,um restaurante excelente para ir com a família ou amigos.","comida, geral"
"Pizzaria péssima, atendimento péssimo",serviço
"Ótima opção para um descanso no fim de semana, possui um delicioso restaurante flutuante com locação  de pranchas para praticar sup.","comida, bebida, ambiente, outros"
"Restaurante de culinária portuguesa, de longa tradição em Manaus (mais de 20 anos), o Alentejo não decepciona aos amantes de uma boa bacalhoada, em todas as suas mais diversas variedades.","comida, geral"
"Pelo menos, na minha experiência, a única opção de carne gorda (carne suculenta) era costela, e mesmo assim estava bem seca (ressecada e borrachuda).",comida
Ótimo restaurante!,geral
Excelente opção para um ambiente confortável.,ambiente
"Na cozinha a agitação tem nome: Felipe Schaedler, o jovem chef que fez fama ao utilizar elementos inusitados na sua cozinha regional e recentemente fincou um pé na capital paulista, com uma...filial.","comida, geral"
Pontos negativos: - Cardápio caro e sem opção saudável.,"comida, preço"
Restaurante maravilhoso,geral
"Ambiente tranquilo, aconchegante, boa música ao fundo e, o que mais gostei, tem opção vegetariana no cardápio.","ambiente, comida"
Um dos ambientes tem um jardim de inverno maravilhoso.,ambiente
"Lugar fica no centro histórico da cidade, vale a pena conhecer.","geral, localização"
"Restaurante muito bonito, música ambiente de qualidade, comida maravilhosa, o atendimento foi ótimo em especial pelo sr. Pedro Jacks que nos deu a sugestão do prato que fez a felicidade da família!","ambiente, comida, serviço"
"Bom local, instagramável, funcionários simpáticos, ambientes com espaço kids, área externa pra rua e pro bairro, showzinho ao vivo, área interna climatizada com 2 andares, tendo referência locais e até de série.","localização, ambiente, serviço, outros"
"Tudo muito agradável, até dente José Gregório muito atencioso!",serviço
"O Coco Bambu em Manaux, fica no Shopping Ponta Negra, lugar bem bacana, conta com segundo piso, espaço muito bonito, comida diferenciada, e para as mulheres que sentem aquele frio de sempre, levem casaquinho, pois os ar condicionados são muitos bons.","ambiente, localização, comida, outros"
Restaurante muito bom!,geral
É a melhor churrascaria de Manaus,comida
O melhor restaurante de Manaus.,geral
"Ótima, um bom restaurante","<frase>ambiente, geral"
Melhor churrascaria.,"comida, ambiente, geral"
Pizzaria tradicional de Manaus.,"ambiente, comida"
Ótimo restaurante.,"comida, bebida, ambiente, serviço, localização, preço, geral"
Excelente restaurante.,geral
"Um bar tradicional amazonense, recanto  de pessoas que gostam de uma cervejinha bem gelada e música ao vivo!","comida, bebida, ambiente, serviço, geral"
Excelente opção!,geral
Restaurante muito bom para levar a família.,geral
Ótimo restaurante.. é possível fazer fotos estilo cangaceiro rsrsrs,"comida, serviço, geral"
"Não é barzinho, é realmente um...restaurante mais sofisticado, porém a culinária me surpreendeu.Mais","<frase>serviço, comida, ambiente"
Ótimo restaurante,geral
"Restaurante agradável, serviço bom atencioso .","serviço, ambiente"
Tem área externa.,ambiente
"Na cozinha a agitação tem nome: Felipe Schaedler, o jovem chef que fez fama ao utilizar elementos inusitados na sua cozinha regional e recentemente fincou um pé na capital paulista, com uma...filial.",comida
Boa opção de menu executivo...Mais,"comida, bebida, serviço"
"Restaurante novo, muito agradável e atendimento excelente.","ambiente, serviço"
Melhor restaurante de Manaus.,geral
"Sem dúvida é o melhor restaurante da cidade quando o assunto é churrasco, além da carne ser deliciosa, os acompanhantos são tão bons quanto.","comida, serviço"
excelente atendimento comemoramos o aniversário da nossa irmã Maria muito bom atendimento agradeço a churrascaria bufalo e recomendo ela,"serviço, comida, geral"
Tudo de bom lugar ótimo pizzaria gostosa,"comida, bebida, geral"
"Lugar muito agradável, cafezinho com muitas opções, alem do ótimo visual do lugar.","<frase>ambiente, bebida, comida"
Bar tradicional de Manaus.,"a frase ""bar tradicional de manaus"" contém elementos que podem ser associados aos seguintes temas:- ambiente: ""tradicional"" pode indicar um tipo de ambiente ou decoração específica- localização: ""manaus"" é uma cidade, então a localização é relevante- geral: a frase como um todo pode expressar uma opinião geral sobre o estabelecimentoportanto, a saída seria:ambiente, localização, geral"
Ambiente Retrô com uma biblioteca interessante!!,ambiente
"Excelente opção em Manaus, comida típica e ambientes de excelente qualidade.","comida, ambiente"
"Excelente restaurante, conheço a casa de Manaus,  não deve nada na qualidade do produtos, ótimos pratos e um excelente atendimento.","comida, bebida, serviço, geral"
"O atendimento é muito bom, fica bem localizado em uma rua principal, o ruim é a questão do estacionamento, mas nada que atrapalhe.","serviço, localização, outros"
melhor opção  de gastronomia japonesa na cidade de manaus não tem igual toda minha familia adorou magnifico!!!,"comida, geral"
"amamos a comida deste restaurante, muito gostoso mesmo, acho que um doselhores de Manaus.","comida, geral"
"Boa pizzaria, amplo espaço, com direito a área para crianças, com sabores entre médio e bom.","<frase>comida, ambiente, outros"
A cada nova opção escolhida me surpreendia mais.,comida
Pizzaria tradicional na cidade com ótimo atendimento.Tem estacionamento.,"serviço, localização"
"Boa comida e é uma ótima opção para quem gosta de uma boa carne, melhor picanha da cidade!","comida, bebida, geral"
"Alimentação de primeira qualidade, Natal chefe de cozinha top","comida, serviço"
Esse restaurante é e sempre foi uma ótima opção para se comer uma ótima carne de sol.,comida
"Qualidade, personalidade, cardápio completo e uma vista pro rio negro muito linda","comida, geral"
Mantém um boa tradição do churrasco,comida
"Um restaurante excelente, comida muito boa e atendimento de primeira... a gentileza e delicadeza do Garçom Senna ao saber que era meu aniversário trouxe uma cortesia para cantar parabéns... muito obrigada?","comida, serviço, ambiente"
@lilasigridmacena  olhaaaaa manaaa de repente essa seria a melhor opção!,"a sua pergunta parece ser sobre como processar um comentário de um cliente de restaurante e identificar os temas relevantes no entanto, a frase que você forneceu para análise não contém informações suficientes para identificar os temas mencionados a frase ""@lilasigridmacena olhaaaaa manaaa de repente essa seria a melhor opção!"" não inclui nenhuma referência específica a comida, bebida, serviço, ambiente, localização, preço ou uma avaliação geral do restaurantepara poder ajudar a identificar os temas em um comentário, a frase precisa conter elementos que se relacionem com os temas que você está interessado em analisar por exemplo, uma frase como ""o serviço é excelente e a comida estava deliciosa, mas o ambiente do restaurante poderia ser mais acolhedor"" incluiria os temas de serviço, comida e ambientese você tiver um comentário mais detalhado ou específico que gostaria de analisar, por favor, forneça mais informações"
Excelente opção em Manaus.,geral
Ótimo restaurante.,geral
"Para quem já foi em uma boa churrascaria, a Búfalo não é das melhores.","comida, ambiente, geral"
Rodízio com sushi mto competido....sushi acaba nas primeiras mesas....e quem senta no fundo tem dificuldade pra comer o sushi,"comida, serviço"
Opção vegetariana de ótima qualidade.,comida
A melhor pizzaria,"comida, ambiente"
Excelente opção de café do fim de tarde!,"comida, bebida"
"Local conta com area externa (mais com segurança,pois é todo gradeado) e tambem area interna refrigerada, otimo atendimento e o proprio Adolpho passa nas mesas p saber se estamos bem servidos.","ambiente, serviço"
Gostei da pizza e massas atendimento do garçom gabriel muito legal a pizzaria família gostou aprovado,"comida, serviço, ambiente"
Uma das melhores pizzaria de Manaus,"comida, geral"
"Boa opção para café da manhã, bem localizado, preço bom, comida boa com diversas opções.","<saída>localização, preço, comida, geral"
"Para os Amantes da Carne, é uma excelente opção!",comida
Restaurante cheio mas não deixa a desejar no atendimento e na qualidade dos pratos!,"serviço, comida"
Atendimento excelente e ambiente aconchegante.. com uma bela vista.,"ambiente, serviço"
É uma ótima opção para quem realmente sabe apreciar a culinária paraense.,<frase>**comida**
Um ótimo restaurante para levar a família.,geral
Melhor pizza da zona sul chora pra vender fiado,comida
"Um local super descontraído, bem confortável  e aconchegante, alimentação saborosa.","ambiente, comida"
Rodízio de peixe é uma boa opção.,"comida, serviço"
José Gregório  excelente !!!,"como posso ajudá-lo sem a frase específica que deseja analisar? por favor, forneça a frase que você gostaria que eu identificasse os temas"
"Estacionamento próprio, área climatizada e área externa/varanda como opção.","localização, ambiente"
Muito boa opção de carnes em Manaus.,comida
"Um bom restaurante,sem dúvidas!Atendimento perfeito,além do tradicional Bacalhau,oferece também,outras opções de carnes.Muito bom!","serviço, comida, ambiente"
"Ótimo atendimento, adorei os vários ambientes para comer, área externa e climatizada.","serviço, ambiente"
"Um restaurante excelente, com uma saborosa culinária.",comida
"Uma das Churrascaria mais tradicional de Manaus, a búfalo oferece um ambiente requintado e super agradável, com uma culinária sem igual, pratos ótimos e cardápio super variados vale pena conferir.","serviço, ambiente, comida, geral"
Para mim é sempre uma boa opção quando quero comida japonesa.,"comida, ambiente"
"O restaurante então maravilhoso, comidas tipicas .. amo","comida, ambiente"
