sentenca,ambiente,bebida,comida,geral,localização,outros,preço,serviço
opção cardápio pizza,0,0,0,0,0,1,0,0
Vale pena preço salgar,0,0,0,0,0,0,1,0
Ótimo atendimento qualidade rodízio batata frita passar,0,0,1,0,0,0,0,1
atendimento impecável,0,0,0,0,0,0,0,1
organizar atendimento estacionamento pessoa necessidade especial,1,0,0,0,1,0,0,1
bom opção gastronômico,0,0,1,0,0,0,0,0
almoçar pedimos constante prato executivo quantidade perfeito dia pessoa preço admirador camarão,0,0,1,0,0,0,1,0
comida atendimento Ketherin educar prestativo,0,0,1,0,0,0,0,1
restaurante top estacionamento ambiente climatizar atendimento excelente recomendo caldeirar tambaqui gostoso server,1,0,1,1,1,0,0,1
ambiente acolhedor excelente atenção mesa,1,0,0,0,0,0,0,1
gente bonito cerveja gelar bom cena musical bar tradicional cidade,1,1,0,1,0,0,0,0
brinquedoteca atender bom família criança,1,0,0,0,0,0,0,0
delicioso atendimento bom preço localizar,0,0,1,0,1,0,1,1
Fiquei impressionado atendimento comer excelente ambiente agradável,1,0,1,0,0,0,0,1
preferido bowl tirashi salmão server delícia,0,0,1,0,0,0,0,0
comida preço,0,0,1,0,0,0,1,0
Ótimo restaurante tranquilo confortável atendimento comida,1,0,1,1,0,0,0,1
viva comida mexicano,0,0,1,0,0,0,0,0
Ótima opção descanso semana possuir delicioso restaurante locação prancha praticar,1,0,0,1,0,0,0,0
preço justo propor prato ficar faixa real incluir água,0,0,0,0,0,0,1,0
espaço bacano,1,0,0,1,0,0,0,0
bebida chegar barulho incomodo conversar saborear tira gosto existente demor ficar pronto chegar pessoa solicitarar,1,1,1,0,0,0,0,1
atendimento bom ambiente espaçoso som escolha estilo comida maravilhosa servido,1,0,1,0,0,0,0,1
Comi variação tambaqui sensacional,0,0,1,0,0,0,0,0
cardápio conter peixe prato regional apresentar maneira criativo concepção diferente,0,0,1,0,0,0,0,0
cerveja gelar atendimento,0,1,0,0,0,0,0,1
ambiente climatizar preço razoável bastar barulhento impossível conversar,1,0,1,0,0,0,1,0
otimo serviço comer servido churrasco climatizar exigencia cidade bom opção drink vinho,1,1,1,0,0,0,0,1
carne excelente atendimento espaço kids ficar andar restaurante garagem caro,1,0,1,0,0,0,1,1
boM banda comi porção generoso preço,0,0,1,0,0,0,1,0
ambiente comer delicioso cerveja gelar,1,1,1,0,0,0,0,0
atendimento rápido comida qualidade,0,0,1,0,0,0,0,1
excelente atendimento comer gostoso,0,0,1,0,0,0,0,1
comida preço acessível,0,0,1,0,0,0,1,0
perfeito,0,0,0,1,0,0,0,0
comida serviço bom vinho,0,1,1,0,0,0,0,1
comida excelente,0,0,1,0,0,0,0,0
super indico,0,0,0,1,0,0,0,0
excelente atendimento clima agradável ambiente adorável recepcionar bom maneira atendente sorrir ser gentil comigo amigo mostrar bom pedir bom bebida,1,1,0,0,0,0,0,1
ingrediente obrigatório mesa amazonense morador banana pacovã irmã banana terra,0,0,1,0,0,0,0,0
venha conhecer bar cerveja super gelar tirar gosto saboroso atendimento vip,0,1,1,0,0,0,0,1
excelente restaurante variedade sabor típico regional toque internacional,0,0,1,1,0,0,0,0
cerveja isca gostoso bom encontro amigo ambiente familiar,1,1,1,0,0,0,0,0
agradável lir comido nota,1,0,1,1,0,0,0,0
massa fino recheio especial atendimento excelente ambiente valer pena,1,0,1,0,0,0,0,1
tranquilo server garçom,0,0,0,1,0,0,0,1
Melhor churrascaria,0,0,0,1,0,0,0,0
restaurante comer excelente qualidade,0,0,1,1,0,0,0,0
parabéns garçom finíssimo,0,0,0,0,0,0,0,1
variedade super agradável colaborador super educar animar variedade corte,1,0,1,1,0,0,0,1
sensacional pizza perfazer,0,0,1,1,0,0,0,0
refeição gostar cobrança brinquedoteca sinal forno quente,1,0,1,0,0,0,0,0
convite familiar experiência perfazer fila atendimento ambiente bacano importante entrada prato sensacional,1,0,1,0,0,0,0,1
atendimento merecer elogio especial diferenciar atenção dispensar cliente,0,0,0,0,0,0,0,1
qualidade preço compatível atendimentonpoder melhorar,0,0,1,0,0,0,1,1
Cerveja gelar carta vinho,0,1,0,0,0,0,0,0
Ótimo restaurante rodízio comida japonês maravilhoso,0,0,1,0,0,0,0,0
serviço antigo lento,0,0,0,0,0,0,0,1
comida regional car atendimento ruim precissar fila tapioca variedade pão limitar,0,0,1,0,0,0,1,1
,0,0,0,0,0,0,1,0
cardápio regional sensacional ambiente agradável atendimento impecável,1,0,1,0,0,0,0,1
Ótimo atendimento temperatura agradável,1,0,0,0,0,0,0,1
