sentenca,ambiente,bebida,comida,geral,localização,outros,preço,serviço
Café regional normal simples todas opções regionais destaque,0,1,0,0,0,0,0,0
Preço pouco salgado,0,0,0,0,0,0,1,0
Valeu pena cada centavos atendimento bom carnes boas,0,0,1,0,0,0,1,1
Rodízio maravilhoso Belém melhor atendente,0,0,1,0,0,0,0,1
Ambiente agradável todo temático dispoe cervejas fabricação própria,1,1,0,0,0,0,0,0
Péssimo atendimento,0,0,0,0,0,0,0,1
Lugar bom conversar excelentes opções cardápio,0,0,1,1,0,0,0,0
Comida ponto certo super gostoso veio buscar informação sobre local atendimento super indico,0,0,1,0,0,0,0,1
Ótimo barzinho musica vivo mesas calçada rua servem bolinho bacalhau divino acompanhado sempre cerveja chopp gelado,1,1,1,1,0,0,0,0
geral bom happy hour restaurante muitas opções bebidas vinhos petiscos gostosos,0,1,1,1,0,0,0,0
Lugar agradável comida mto bem feita,0,0,1,1,0,0,0,0
ótimo restaurante perde padrão coco bambu Fortaleza,0,0,0,1,0,0,0,0
Lugar agradável lanche tarde amigas comida qualidade ótimo atendimento,0,0,1,1,0,0,0,1
bom atendimento pizzas deliciosas gostei rodízio,0,0,1,0,0,0,0,1
Custo benefício alto,0,0,0,0,0,0,1,0
Petiscos excelentes cerveja mega geladaaa,0,1,1,0,0,0,0,0
Ambiente agradável espetacular excelente atendimento comida maravilhosa tradicional restaurante comidas típicas,1,0,1,1,0,0,0,1
Ambiente legal musica boa Rock leve hambúrguer saboroso,1,0,1,0,0,0,0,0
Cerveja gelada coámida maravilhosa banana frita comentário tudo bom,0,1,1,0,0,0,0,0
Localizado esquina dois ambientes térreo andar superior climatização apenas auxílio ventiladores,1,0,0,0,0,0,0,0
atendentes super atenciosos melhor valor bebidas Manaus coca 1 L custa 3 00,0,0,0,0,0,0,1,1
Local super agradável atendimento bom porções gostosas,0,0,0,1,0,0,0,1
parabéns além atendimento excelente garçom Filipe Farias ambiente agradável pratos camarão mravilhosos recomendo pedirem torta trufada,0,0,1,0,0,0,0,1
Excelente agradável local reunir tomar café comer melhor pão cidade,0,0,1,1,0,0,0,0
Ótimo lugar,0,0,0,1,0,0,0,0
Preço justo,0,0,0,0,0,0,1,0
ótima opção Manaus,0,0,0,1,0,0,0,0
Ótimo lugar atendimento maravilhoso,0,0,0,1,0,0,0,1
ameeiii lugar cheio lembranças grandes intelectuais desse Estado,0,0,0,0,0,1,0,0
Pão qualidade ruim,0,0,1,0,0,0,0,0
ambiente familiar descontraído ideal levar família restaurante conta suculento bufe garçons super educados estacionamento amplo bem localizado comodidade forma pagamento ambiente espaçoso,1,0,1,0,1,0,0,1
Ambiente rústico vista teatro Amazonas,1,0,0,0,0,0,0,0
Custo benefício ótimo preço justo,0,0,0,0,0,0,1,0
prato principal arroz camarão pirarucu defumado tomate,0,0,1,0,0,0,0,0
Lugar super aconchegante ótima localização serviço manobrista Buffet variado rodízio carnes varia,1,0,1,0,1,0,0,0
Mantém boa tradição churrasco,0,0,1,0,0,0,0,0
Chegando deparei estacionamento amplo ambiente bastante regional caboclo mesas cadeiras madeira super decorado imagens animais silvestres cardápio bastante variado local limpo bastante ventilado vale Pena ir família amigos,1,0,1,0,1,0,0,0
melhores pizzaria Manaus,0,0,0,1,0,0,0,0
bom atendimento garçom Fernando ótima comida,0,0,1,0,0,0,0,1
Restaurante comida ótima arejado bebidas gelada,0,1,1,0,0,0,0,0
Excelente comida bom preço pratos variados ótimo atendimento,0,0,1,0,0,0,1,1
Ótimo lugar busca experiência delícias culinária italiana,0,0,1,0,0,0,0,0
Receptividade Pontos fortes daqui,0,0,0,0,0,0,0,1
Ambiente agradável pé direito alto situa segundo andar prédio,1,0,0,0,0,0,0,0
Tradução Google Bar tradicional centro Manaus poucos passos teatro preço acessível bebidas Original Bar tradicional en el Centro Manaus pocos pasos del Teatro precio accesible las bebidas,0,0,0,1,0,0,1,0
Ambiente agradável comida deliciosa atendimento excelente,1,0,1,0,0,0,0,1
Área kids ambiente climatizado melhor peixe Cidade preço justo,1,0,1,0,0,0,1,0
boa opção,0,0,0,1,0,0,0,0
Melhor opção comida portuguesa sofisticada preço extremamente salgado porém tudo impecável atendimento sabor experiência,0,0,1,0,0,0,1,0
