sentenca,ambiente,bebida,comida,geral,localização,outros,preço,serviço
Agora nova opção cardápio pizza,0,0,0,0,0,1,0,0
Vale pena apesar preço pouco salgado,0,0,0,0,0,0,1,0
Ótimo atendimento qualidade pizza rodízio batatas fritas passam longe,0,0,1,0,0,0,0,1
Atendimento impecável sempre,0,0,0,0,0,0,0,1
Bem organizado atendimento bom estacionamento pra pessoas necessidades especiais,1,0,0,0,1,0,0,1
certeza melhor opção gastronômica Manaus,0,0,1,0,0,0,0,0
almoçar Coco Bambú pedimos Camarão Boa Viagem constante Prato executivo quantidade boa perfeito dias pessoas preço bom admirador camarão,0,0,1,0,0,0,1,0
Excelente comida atendimento Ketherin bom educada prestativa,0,0,1,0,0,0,0,1
Restaurante top estacionamento grande ambiente climatizado atendimento excelente recomendo caldeirada tambaqui gostoso bem servido,1,0,1,1,1,0,0,1
ambiente acolhedor excelente atenção mesa,1,0,0,0,0,0,0,1
Gente bonita cerveja gelada melhor cena musical Manaus bares tradicionais cidade,1,1,0,1,0,0,0,0
falta brinquedoteca atender melhor famílias crianças,1,0,0,0,0,0,0,0
Carne sol deliciosa bom atendimento ótimo preço bem localizado,0,0,1,0,1,0,1,1
Fiquei impressionada atendimento comida excelente ambiente agradável,1,0,1,0,0,0,0,1
preferido bowl tirashi salmão bem servido delícia,0,0,1,0,0,0,0,0
Boa comida bom preço,0,0,1,0,0,0,1,0
Ótimo restaurante tranquilo confortável atendimento comida Excelência,1,0,1,1,0,0,0,1
Viva comida mexicana,0,0,1,0,0,0,0,0
Ótima opção descanso fim semana possui delicioso restaurante flutuante locação pranchas praticar sup,1,0,0,1,0,0,0,0
Preço justo propõe pois prato ficou faixa 130 00 reais incluindo 10 água,0,0,0,0,0,0,1,0
Lugar bom espaço bacana,1,0,0,1,0,0,0,0
bebidas chegam bem todavia barulho local incomoda quer conversar saborear alguns tira gostos existentes quais demoram ficarem prontos chegarem pessoas solicitaram,1,1,1,0,0,0,0,1
Atendimento ótimo Senna ambiente aconchegante espaçoso som boa escolha estilos comida 100 maravilhosa bem servida,1,0,1,0,0,0,0,1
Comi duas variações tambaqui sensacionais,0,0,1,0,0,0,0,0
cardápio contém peixes pratos regionais apresentados maneira criativa mediante concepção diferente,0,0,1,0,0,0,0,0
cerveja gelada atendimento 100,0,1,0,0,0,0,0,1
Pizza boa ambiente climatizado preço razoável porém local bastava barulhento vez impossível conversar lá,1,0,1,0,0,0,1,0
otimo serviço comida bem servida bom churrasco bem climatizado exigencia cidade Manaus boas opções drinks vinhos,1,1,1,0,0,0,0,1
